Module,File Path,Line Number,Icon Type,Suggested Button Text,Context,Implementation Notes
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/billing/pending/page.tsx,406,Download,Download,billing > pending > page,"Add aria-label=""Download"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/billing/pending/page.tsx,409,Eye,View,billing > pending > page,"Add aria-label=""View"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/feedback/nps/page.tsx,465,Download,Download,feedback > nps > page,"Add aria-label=""Download"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/feedback/ratings/page.tsx,421,Download,Download,feedback > ratings > page,"Add aria-label=""Download"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/feedback/surveys/page.tsx,415,Eye,View,feedback > surveys > page,"Add aria-label=""View"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/feedback/surveys/page.tsx,418,BarChart3,View Analytics,feedback > surveys > page,"Add aria-label=""View Analytics"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/feedback/surveys/page.tsx,421,Download,Download,feedback > surveys > page,"Add aria-label=""Download"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/installations/calendar/page.tsx,244,ChevronLeft,Previous,installations > calendar > page,"Add aria-label=""Previous"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/installations/calendar/page.tsx,253,ChevronRight,Next,installations > calendar > page,"Add aria-label=""Next"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/knowledge/articles/page.tsx,379,Eye,View,knowledge > articles > page,"Add aria-label=""View"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/knowledge/articles/page.tsx,382,Edit,Edit,knowledge > articles > page,"Add aria-label=""Edit"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/knowledge/articles/page.tsx,385,Trash2,Delete,knowledge > articles > page,"Add aria-label=""Delete"" or visible text"
After-Sales-Service,b3-erp/frontend/src/app/(modules)/after-sales-service/warranties/claims/[id]/page.tsx,584,Download,Download,claims > [id] > page,"Add aria-label=""Download"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/contracts/templates/page.tsx,371,Eye,View,contracts > templates > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/contracts/templates/page.tsx,374,Edit,Edit,contracts > templates > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/contracts/templates/page.tsx,377,Copy,Copy,contracts > templates > page,"Add aria-label=""Copy"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/guided-selling/playbooks/page.tsx,485,Eye,View,guided-selling > playbooks > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/guided-selling/playbooks/page.tsx,488,Edit2,Edit,guided-selling > playbooks > page,"Add aria-label=""Edit"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/guided-selling/playbooks/page.tsx,491,Copy,Copy,guided-selling > playbooks > page,"Add aria-label=""Copy"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/integration/cad/page.tsx,305,Settings,Settings,integration > cad > page,"Add aria-label=""Settings"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/integration/crm/page.tsx,326,Eye,View,integration > crm > page,"Add aria-label=""View"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/integration/crm/page.tsx,329,Settings,Settings,integration > crm > page,"Add aria-label=""Settings"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/integration/crm/page.tsx,333,Pause,Pause,integration > crm > page,"Add aria-label=""Pause"" or visible text"
Cpq,b3-erp/frontend/src/app/(modules)/cpq/integration/crm/page.tsx,337,Play,Play,integration > crm > page,"Add aria-label=""Play"" or visible text"
